COMMON_NAME,term,disturb,m,upper,lower,sig,pd
Common pinyon,alpha,,0.000348576768887078,0.000646564841763101,4.00980847624537e-05,1,0.9886
Common pinyon,beta,bugs,-0.00514024742550132,-0.00377447999820266,-0.00657374586667649,1,1
Common pinyon,beta,disease,-0.00172636200833794,-3.23924493722727e-05,-0.00339613001158754,1,0.9756
Common pinyon,beta,fire,-0.00770610490038499,-0.00555254711532949,-0.00988149711624227,1,1
Common pinyon,psi,bugs,0.00510780117425382,0.00595130521472443,0.004374940189164,1,1
Common pinyon,psi,disease,0.0035787282599379,0.00429709442935135,0.00294605618595387,1,1
Common pinyon,psi,fire,0.00204304866204309,0.00260847563111129,0.00157614625484629,1,1
Common pinyon,rd,,-3.1508830220624,-3.07762790744237,-3.22194910094388,1,1
Common pinyon,sens,bugs,-0.000612365840653613,-0.000427391227677644,-0.000828755937943815,1,1
Common pinyon,sens,disease,-0.000142187226219316,-2.89294339527046e-06,-0.000294572034824347,1,0.9756
Common pinyon,sens,fire,-0.000365700402231852,-0.000240556836958676,-0.000526344798778818,1,1
Douglas-fir,alpha,,0.00374279607066761,0.00393149281477356,0.00355383857202559,1,1
Douglas-fir,beta,bugs,-0.00312909359143059,-0.00261892103430828,-0.00365314587836879,1,1
Douglas-fir,beta,disease,-0.00150477579319648,-0.00103019572290158,-0.00197663721022193,1,1
Douglas-fir,beta,fire,-0.0125956539564804,-0.0119426997086209,-0.0132490227053102,1,1
Douglas-fir,psi,bugs,0.0112184719546344,0.0118506053757634,0.0105812768999103,1,1
Douglas-fir,psi,disease,0.0135706349493926,0.0142426891333219,0.0129066263188588,1,1
Douglas-fir,psi,fire,0.00676752295957552,0.00724078604078284,0.00628801948795176,1,1
Douglas-fir,rd,,-2.41644587802349,-2.37546715488135,-2.45401271408414,1,1
Douglas-fir,sens,bugs,-0.000393028276808899,-0.000323796576151055,-0.000463318183479024,1,1
Douglas-fir,sens,disease,-0.000228362820945062,-0.000153358957297236,-0.000302702930504032,1,1
Douglas-fir,sens,fire,-0.000954096439960702,-0.000863019371001357,-0.00105028473807272,1,1
Engelmann spruce,alpha,,0.000673865613646326,0.00106345811308616,0.000283895935153275,1,0.9996
Engelmann spruce,beta,bugs,-0.00773214880744547,-0.00703418272842923,-0.00844361113471099,1,1
Engelmann spruce,beta,disease,0.00175768370319837,0.00266309722665461,0.000822768728609717,1,1
Engelmann spruce,beta,fire,-0.010834775156963,-0.00960298216526951,-0.0120965107654306,1,1
Engelmann spruce,psi,bugs,0.0252995124394812,0.0271518931263622,0.0235682783047284,1,1
Engelmann spruce,psi,disease,0.0135087435524318,0.0148874596925918,0.0122640035370513,1,1
Engelmann spruce,psi,fire,0.0064144352256161,0.00734831311848252,0.00555403820584063,1,1
Engelmann spruce,rd,,-2.94833590191925,-2.87397301640912,-3.02457211829719,1,1
Engelmann spruce,sens,bugs,-0.00373042807724616,-0.00323853489241563,-0.00427788901457071,1,1
Engelmann spruce,sens,disease,0.000453508832769805,0.000698914679012176,0.000207981003813115,1,1
Engelmann spruce,sens,fire,-0.00132510388616786,-0.00107897826465467,-0.00161379850679892,1,1
lodgepole pine,alpha,,0.0016738491151684,0.00200450902650677,0.00134324383402357,1,1
lodgepole pine,beta,bugs,-0.0145982819103513,-0.0139648429077051,-0.0152155622215938,1,1
lodgepole pine,beta,disease,0.00257424073160637,0.00323740232849182,0.00188895069887344,1,1
lodgepole pine,beta,fire,-0.016727898622982,-0.0156119521669031,-0.0178366896470444,1,1
lodgepole pine,psi,bugs,0.0233870052585788,0.0248203490089126,0.0220432120785514,1,1
lodgepole pine,psi,disease,0.0197453813903689,0.0211186496914855,0.0184474403776539,1,1
