YEAR,ECOSUBCD,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,242Aa,17,grand fir,Abies grandis,0,,Stable,0,,0,0,-0.102040816326531,-0.102040816326531,0,,0,0,2.05330309836679e-18,1.92145600707297e-18,1,2
2018,242Aa,98,Sitka spruce,Picea sitchensis,0.00062063478975779,1.67829061368841,Expand,6.98997202180883e-05,0.00315286055352569,0.0369801740351637,0.0431241489350794,0,0.0214445682488379,3.50419263631846e-08,7.12929562605681e-05,0.00012029381841094,0.000162621581749429,0,2.22519587489787e-08,2,30
2018,242Aa,202,Douglas-fir,Pseudotsuga menziesii,0.000360307512058001,0.686516385862503,Expand,0.000280323930065737,0.527357910391966,0.0524834540701208,0.056111980346712,-0.0614622819073537,0.0719597562170842,6.25000912672056e-07,2.21192926573963,9.43035280628655e-05,0.000184054643286389,2.91014949385347e-05,0.00069079329997295,4,33
2018,242Aa,242,western redcedar,Thuja plicata,0.00214271790998338,1.72850794840053,Expand,0.000216568205633582,0.247138298789894,0.123963439795931,0.144962556425137,-0.0221299722087714,0.0486934667244676,6.41764407568664e-07,0.835730662615333,0.0018388770554903,0.00185311637450149,0.00022858867454024,0.000192501327125345,4,55
2018,242Aa,263,western hemlock,Tsuga heterophylla,0.00498099165205544,9.79003389931756,Expand,0.0005333553570795,1.92139358822924,0.0508781859519675,0.100134711170885,0.735059339686849,0.0442008790244709,2.11430509642025e-06,27.4389196386929,0.000225006631030941,0.000136286584517748,0.145016413748387,0.000329125430370777,3,31
2018,242Aa,312,bigleaf maple,Acer macrophyllum,0.00222931233680145,8.43294367380067,Expand,0.000380566657861199,1.66534075797916,0.0264357550937693,0.0492335697674855,0.015159091303824,0.0436008334939475,1.86860481670787e-06,35.7818024662154,5.06562788263157e-05,0.000215757528351667,0.00256840822304324,0.00245608435902712,3,52
2018,242Aa,351,red alder,Alnus rubra,-0.0026408820317631,-3.13164187710298,Decline,0.000457619897503219,0.421494354778072,0.0843289921198181,0.0572440883879429,-0.0816091982900431,-0.027916057244226,3.62884943270457e-06,3.078524928211,0.000370605545221665,0.000164689672130584,6.58735653169655e-05,5.52278731940322e-05,6,69
2018,242Aa,375,paper birch,Betula papyrifera,-0.000157767306655866,-0.108157550689462,Stable,0.000546734162914898,0.36750504270168,0.145868046798546,0.144650734610531,0.112226756193756,-0.0119446226781553,4.4793139530136e-06,2.02388431476258,0.00241600999733135,0.00122022292222212,0.00601566825930153,2.11904153231883e-05,5,60
2018,242Aa,661,Oregon crab apple,Malus fusca,0.00862601420851079,Inf,Expand,0,,0,0.0983365619770229,Inf,Inf,0,,0,-6.00984770832218e-18,,,1,9
2018,242Aa,747,black cottonwood,Populus balsamifera,0.00278412959737417,14.2157325211854,Expand,0.000613150613248449,6.3472809758873,0.0195848479367844,0.048121019466231,1.22191960784891,0.0472997031868867,2.59836267561706e-06,278.445935373453,0.000135720549352032,2.53673254921105e-05,2.54451513667452,0.00141870682893301,2,29
2018,242Aa,768,bitter cherry,Prunus emarginata,-0.00716241073094651,-9.70873786407767,Stable,,0,0.073772830528749,0,-0.0970873786407767,-0.0970873786407767,-1.45379969263493e-20,0,-1.86086360657271e-18,0,0,-2.08840168820818e-18,1,26
2018,242Ab,17,grand fir,Abies grandis,0.00123196349730979,14.9494285264888,Expand,0.000275211376779309,0,0.00824087352320451,0.0200677230973785,0,0.216633426246315,7.40514739683763e-07,0,3.31348130892899e-05,0.000196487183341791,0,1.44348784632629e-17,1,40
2018,242Ab,202,Douglas-fir,Pseudotsuga menziesii,0.00426134386823888,3.65168593806676,Expand,0.000278026788705427,0.280683577682556,0.11669524544312,0.159037444916194,-0.0046629330662112,0.0285613503064668,1.74197074996378e-06,1.77542192374331,0.00278581487108219,0.00382581793920645,0.000430636521591989,0.000816593224165061,6,89
2018,242Ab,242,western redcedar,Thuja plicata,0.00243834470815948,2.52723027154354,Expand,0.000232075303375445,0.25031925192858,0.0964828862496264,0.121621160932735,0.00198496708663537,0.100407865248327,1.45210896829245e-06,1.68938976407398,0.000844944528942582,0.00117217811820802,9.38683778821304e-05,0.00105327602867388,8,106
2018,242Ab,263,western hemlock,Tsuga heterophylla,-0.000546674401772993,-9.70873786407767,Decline,3.78325460453262e-12,0,0.00563074633826183,0,-0.0970873786407767,-0.0970873786407767,1.39936845656552e-22,0,-8.95595812201935e-21,0,-4.0569257501909e-18,3.29863658434203e-18,1,40
2018,242Ab,312,bigleaf maple,Acer macrophyllum,0.00147519951561401,0.496019575139116,Expand,0.00071759445769076,0.228864033867656,0.297407519693204,0.312185254877068,-0.0215945356321056,0.048574663274718,7.71644439463774e-06,0.784899723571047,0.00571563414962496,0.00841637486280574,0.000120884361936267,0.000158456975253936,5,60
2018,242Ab,351,red alder,Alnus rubra,0.0018919522501557,2.25533919900201,Expand,0.000375501513952542,0.38876309532467,0.0838877030556152,0.102163130065443,-0.0109851318129404,-0.0149318710287417,2.70031088350777e-06,2.89441263120732,0.000592061799911228,0.0012617845831772,0.000868514736036898,0.00067138860628027,9,76
2018,242Ab,375,paper birch,Betula papyrifera,-0.00428639093081528,-5.27133925581476,Stable,,,0.0813150268423154,0.0375938393479996,-0.065359477124183,-0.048986896231723,-1.12401795478828e-20,-8.49966156480801e-15,-2.87748596425799e-18,0,-1.209953732397e-18,0,1,9
2018,242Ab,747,black cottonwood,Populus balsamifera,0.00223877558455105,626.8836802976,Expand,1.06551523536902e-05,248.569491468242,0.00035712775031697,0.0218522240573312,0.0909781995572565,0.0907194170852475,1.34653188273231e-09,732812.655361448,2.32154720410322e-07,1.77948309246966e-08,0.015500260548496,0.0101481119846891,2,48
2018,242Ac,17,grand fir,Abies grandis,1.73350482111575e-05,0.0135442756946416,Stable,0.00124872792474063,0.974127315727149,0.127988004689063,0.129168591723093,-0.0544688625276791,0.0152837520104927,4.3665182510095e-05,26.5724180018374,0.00748280628103276,0.0213999743444806,0.00676383286551932,0.00195116018575515,3,110
2018,242Ac,98,Sitka spruce,Picea sitchensis,0.00679191610784023,19.4018962738007,Expand,0,1.3787601385309e-07,0.0350064551010495,0.10428399940102,0.0980392156862745,0.230166189524478,0,1.75954202293345e-13,3.44997458067163e-19,0,-3.66137548954729e-18,4.51076804617318e-17,1,38
