YEAR,SPCD,COMMON_NAME,SCIENTIFIC_NAME,TPA,BAA,TPA_PERC,BAA_PERC,TREE_TOTAL,BA_TOTAL,AREA_TOTAL,TPA_SE,BAA_SE,TPA_PERC_SE,BAA_PERC_SE,TREE_SE,BA_SE,AREA_TOTAL_SE,nPlots_TREE,nPlots_AREA
2005,15,white fir,Abies concolor,3.16320500008255,1.03928419813077,0.716552479109547,0.957846768443596,345379378.79953,113475835.659467,109186530.367307,13.0796935330669,11.3137408637678,1.59539610044158,1.12149547027292,13.0827255952744,11.3218988986261,0.737232076935187,195,7053
2005,17,grand fir,Abies grandis,11.819932712024,2.56943854122199,2.6775381574978,2.36809951296328,1290577442.00093,280548079.308063,109186530.367307,9.61768943459971,9.62959231201621,1.59358049418865,1.12207658043147,9.65773964306418,9.67546188286977,0.737232076935187,236,7053
2005,18,corkbark fir,Abies lasiocarpa,0.843941304821394,0.104294332281722,0.191175796123531,0.0961219167218206,92147022.9071056,11387536.2788162,109186530.367307,33.7847342799557,29.2714375737773,1.62321462305121,1.12204045074819,33.7864371595433,29.276363340154,0.737232076935187,31,7053
2005,19,subalpine fir,Abies lasiocarpa,50.4161809696125,6.84047931807202,11.420644397081,6.30446515130803,5504767874.44223,746888202.789604,109186530.367307,4.59782222263263,3.94485589321481,1.59150376105778,1.1195124332382,4.64061228784776,3.99339419098256,0.737232076935187,1175,7053
2005,20,California red fir,Abies magnifica,0.0171979296287478,0.00492699683100427,0.00389580160334507,0.00454092153156693,1877782.26566407,537961.689108072,109186530.367307,134.540944742243,134.540944742243,1.9594190707501,1.17344355764103,134.549564067717,134.549564067717,0.737232076935187,1,7053
2005,51,Arizona cypress,Cupressus arizonica,0.295194231931835,0.0322651041461504,0.0668695701682549,0.0297368379077362,32231233.9690791,3522914.77365797,109186530.367307,69.3930080917997,53.2491038474068,1.72719202911007,1.13094955421855,69.3925870856069,53.2565034018938,0.737232076935187,9,7053
2005,59,redberry juniper,Juniperus coahuilensis,0.191615887749386,0.126258641533621,0.0434062412647983,0.116365121300382,20921873.9466068,13785742.9979456,109186530.367307,22.7060449324382,19.3780743922669,1.59294552019006,1.10667137482528,22.7207944775905,19.3904033272788,0.737232076935187,45,7053
2005,62,California juniper,Juniperus californica,0.0118732329937237,0.0169969994754304,0.00268961212962042,0.0156651289897992,1296397.11482732,1855843.39937718,109186530.367307,61.1441052314313,83.0766935369164,1.47576137518929,1.20599555694226,61.1561119141495,83.0853497224076,0.737232076935187,3,7053
2005,63,alligator juniper,Juniperus deppeana,1.82993411241717,0.78549607319527,0.414530144213047,0.723945266067208,199804156.535608,85765590.8493356,109186530.367307,11.562842169633,8.94065563854715,1.5936077003216,1.11820104546825,11.5762054246012,8.95710225769043,0.737232076935187,241,7053
2005,64,western juniper,Juniperus occidentalis,0.267443293630332,0.128119493669532,0.0605832233658698,0.118080158638715,29201205.3015008,13988922.9861923,109186530.367307,29.3921553149108,34.4634417721999,1.60787503109783,1.1433010201823,29.4342081774869,34.5048818506678,0.737232076935187,16,7053
2005,65,Utah juniper,Juniperus osteosperma,23.3296418715134,16.1567149599002,5.28480219250241,14.8906884573429,2547282650.66239,1764095648.60507,109186530.367307,3.04870731358662,2.69398049634441,1.59107747102392,1.11946306314793,3.15534248198539,2.79967809983751,0.737232076935187,2118,7053
2005,66,Rocky Mountain juniper,Juniperus scopulorum,6.01841068594708,1.60998044679447,1.3633346865607,1.48382374233446,657129381.124085,175788178.944695,109186530.367307,10.5720896899074,7.79602390495918,1.59397019813385,1.11978534122783,10.6176228765309,7.84336974699562,0.737232076935187,558,7053
2005,69,oneseed juniper,Juniperus monosperma,2.88570802780203,2.0333487642129,0.653691822456625,1.87401727691336,315080447.208788,222014296.591058,109186530.367307,9.93581289341962,6.90155491239863,1.59305315476744,1.11967008969271,9.95380927015735,6.94207608495748,0.737232076935187,383,7053
2005,72,subalpine larch,Larix lyallii,0.100640778017105,0.00832459405086317,0.022797889793987,0.00767228591040387,10988617.3651541,908933.541130074,109186530.367307,79.1376601912891,86.9651752452594,1.7525621915496,1.00559915317677,79.1419949082164,86.9692829233281,0.737232076935187,4,7053
2005,73,western larch,Larix occidentalis,2.93830074059078,1.24203046873416,0.665605510861546,1.14470601297048,320822863.040795,135612997.491562,109186530.367307,11.7904348630474,8.28886632424484,1.59433497685819,1.1194403454858,11.80675799221,8.31152518746455,0.737232076935187,239,7053
2005,93,Engelmann spruce,Picea engelmannii,24.7797138232547,8.02987977355895,5.61328316413729,7.40066519430161,2705610975.85597,876754711.741517,109186530.367307,4.63616619052643,4.06600133825459,1.59145285825411,1.11962506594695,4.65687365376892,4.08290386749984,0.737232076935187,1125,7053
2005,96,blue spruce,Picea pungens,0.765990535323509,0.14491818251695,0.17351781406712,0.133562516453382,83635848.8461699,15823113.5361619,109186530.367307,40.1420327129395,26.4020632331627,1.6373059081899,1.12484751125786,40.1420180744421,26.3981330262267,0.737232076935187,43,7053
2005,101,whitebark pine,Pinus albicaulis,7.6472928985657,1.44526909032451,1.73232107460664,1.33201902827793,834981378.296934,157803917.419647,109186530.367307,11.9838035700954,9.81368669877195,1.59504543841479,1.12108475252804,11.9986829938199,9.82435237763214,0.737232076935187,192,7053
2005,102,Rocky Mountain bristlecone pine,Pinus aristata,0.410571356605729,0.131867761487248,0.093005645672515,0.121534715364313,44828861.8959778,14398183.3440962,109186530.367307,23.8600400455353,28.6739856146638,1.60212702806473,1.12789851778518,23.860877950175,28.6763354729898,0.737232076935187,42,7053
