YEAR,spSC,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,0.05,11,Pacific silver fir,Abies amabilis,0.000212982639099987,0.594107309537002,Expand,1.945577778916e-05,0.0552729503478113,0.0358491867851227,0.0378845014699558,0.00546556363161641,0.00504524768947639,2.31144526024793e-08,0.186557069834809,2.13951946793375e-06,2.97192411180877e-06,1.76118720016183e-05,1.97730586264248e-05,656,237
2018,0.05,15,white fir,Abies concolor,-0.00037653189710958,-0.853744105039935,Decline,4.89438836245475e-06,0.010845804835519,0.0441036014054782,0.0406822970844515,-0.0088466291328995,-0.0171586599442302,1.78321112149216e-08,0.0875647839785765,2.12258994066379e-06,2.48802283608721e-06,6.57073177089798e-06,8.47788845188257e-06,1177,2862
2018,0.05,17,grand fir,Abies grandis,0.000454167179938254,2.2262702521048,Expand,4.0585780595792e-06,0.0227594454917725,0.0204003615243418,0.024942370727302,0.0234456805048214,0.0211278491631614,9.61182041783329e-09,0.302260359848561,1.11386877015722e-06,9.9150749405233e-07,2.7591433924865e-05,3.13247550061496e-05,1069,2244
2018,0.05,18,corkbark fir,Abies lasiocarpa,0.000617405164762446,3.99839649001885,Expand,2.91453905718972e-05,0.228852897419242,0.0154413191964246,0.0216802946910369,0.0292385559086448,0.0372712197704286,1.95162690715262e-07,12.0328878341904,7.84216965271881e-06,5.78452291688451e-06,0.000881222177215816,0.00151379060376495,86,885
2018,0.05,19,subalpine fir,Abies lasiocarpa,2.53647081431158e-05,0.115840554432161,Expand,1.31137133131106e-06,0.00602089532286032,0.0218962247439604,0.0220874617211107,0.000827107459134414,0.002068776232144,3.0179832490246e-09,0.0636191128049667,5.11092723659149e-07,5.38941306647639e-07,5.83667169628395e-06,7.29175629854314e-06,1635,6744
2018,0.05,20,California red fir,Abies magnifica,-0.00097371907415198,-2.0314853299887,Decline,5.04564934122413e-05,0.0935914329793969,0.0479313859557823,0.037982427729257,-0.0174895037259644,-0.0358279798716592,1.42205804106213e-07,0.489277659359364,3.07992489467585e-05,2.4202988262655e-05,6.11477100804638e-05,6.67953298904453e-05,192,217
2018,0.05,21,Shasta red fir,Abies shastensis,-0.000270801880193232,-0.592414842243261,Decline,9.90809812166678e-05,0.204521933453898,0.0457115286254145,0.0430909029062668,0.0094449281649626,0.00415060426027224,7.09359535676434e-07,3.02249501253907,9.99287049977868e-05,3.35286031618462e-05,0.000180809877894776,0.00095221532819824,105,280
2018,0.05,22,noble fir,Abies procera,0.000316766203713515,1.01369670534873,Expand,7.51264059462658e-05,0.253924590717942,0.0312486172680754,0.034376711354069,0.00734375172481616,0.0100467652163777,5.60623298423621e-07,6.40465055568368,2.50210711729317e-05,1.74477938912703e-05,0.000193462447067146,0.000322122799180898,156,384
2018,0.05,41,Port-Orford-cedar,Chamaecyparis lawsoniana,0.000343621490999334,1.72129520880336,Expand,7.38306517103565e-05,0.404913898196341,0.019962960986699,0.0236585194647977,-0.00751292791532821,0.0463800685380356,3.34277636172604e-07,10.0544723878148,2.43725828892688e-05,2.28269121711337e-05,0.000718357075966571,0.00249411229214831,25,238
2018,0.05,42,Alaska yellow-cedar,Chamaecyparis nootkatensis,-0.000136751717440621,-0.520753458051483,Decline,4.72660571917617e-05,0.170305510015484,0.0262603570511674,0.0247827679915799,0.00317684356261486,-0.0114261501110258,1.50380138531485e-07,1.95231156422642,4.42678944563061e-05,2.72092346507914e-05,0.000303841514076963,0.000190083133360478,46,261
2018,0.05,51,Arizona cypress,Cupressus arizonica,-0.00222449060758918,-3.48984930734182,Decline,0.000921391399200767,0.767476731485604,0.0637417381578447,0.0403210067138366,-0.0155773293812352,-0.0185113835291827,4.53995763817174e-06,3.14987940731519,0.000997589594046657,0.000152997463172833,0.000229800749635701,8.52370465269414e-06,3,23
2018,0.05,52,Baker or Modoc cypress,Cupressus bakeri,0.00220571731400768,Inf,Stable,,,0,0.0229394600656799,Inf,Inf,-6.44807297918837e-21,,0,4.12676670668056e-19,,,1,6
2018,0.05,54,Monterey cypress,Cupressus macrocarpa,-0.00309251134526751,-10.4166666666667,Decline,0,2.60018407417759e-07,0.0296881089145681,0,-0.104166666666667,-0.104166666666667,0,6.13898496193039e-14,0,0,-6.97891140937144e-18,5.4541825240105e-18,1,6
2018,0.05,55,Sargent's cypress,Cupressus sargentii,0.000844145423039706,5.56233571649851,Expand,0.00046871547937455,3.71289863834087,0.0151760962671828,0.0221454662198196,0.0640564832153716,0.0490261132184904,4.43614714222852e-06,278.364299914912,5.90805754998634e-05,0.000171333445535438,0.0329262116906177,0.0235070805992142,3,80
2018,0.05,56,MacNab's cypress,Cupressus macnabiana,0.00157854783221718,Inf,Stable,,,0,0.0170483165879456,Inf,Inf,-7.23226022707292e-22,,0,9.25729309065334e-20,,,1,39
2018,0.05,58,Pinchot juniper,Juniperus pinchotii,0.00124133110373411,7.43519084710907,Stable,,0,0.0166953495782392,0.0283638619533398,0.0531914893617021,0.07929341384954,-4.53263389100403e-22,0,0,0,0,-2.144211741162e-18,1,33
