YEAR,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,11,Pacific silver fir,Abies amabilis,0.00172412484940859,0.671035062197578,Expand,3.94524967808435e-05,0.0156356692956197,0.256935135961785,0.274169761481953,0.00653089340984635,0.00153774937337234,7.55970986575738e-08,0.0118737826365376,4.13455196120317e-05,4.76166220390855e-05,5.97855389974821e-06,1.84461704168591e-06,1223,189
2018,15,white fir,Abies concolor,-0.00024295825767066,-0.132923132758471,Decline,6.18482892168618e-06,0.00336333638261205,0.182781019848614,0.181531675488801,-0.00780838316016913,0.00166387311581333,4.50444601397074e-08,0.0133206867185739,1.73100101895718e-05,1.70705385909528e-05,2.86784185959373e-06,1.53476968735752e-06,2325,4526
2018,17,grand fir,Abies grandis,0.0026189595879934,1.82454606094081,Expand,8.16810182859621e-06,0.00626778686540839,0.143540338282442,0.169680826182276,0.0205416703549369,0.0167258583849532,4.39507195243481e-08,0.0258792772154217,2.08484155997139e-05,2.39133517256026e-05,8.39834190193418e-06,3.19088088834217e-06,2412,2533
2018,18,corkbark fir,Abies lasiocarpa,0.00245625431642278,3.76224740247397,Expand,4.95064439655871e-05,0.0946418096905519,0.0652868898203663,0.0952399253966835,0.027863839430421,0.0377701584326198,1.08689976278922e-06,3.97220909696827,9.97557286938326e-05,8.09881543554545e-05,0.000469927367502394,0.000556661314034394,212,1706
2018,19,subalpine fir,Abies lasiocarpa,-0.00111237875668628,-0.717694733019101,Decline,3.85083172283761e-06,0.00242114785580983,0.154993300843504,0.143793563927981,-0.00358051937293089,-0.0091561781514726,3.08300124475536e-08,0.0121872927188038,1.10395606057862e-05,1.11667539304287e-05,1.97665171113399e-06,1.44521866899013e-06,3235,7989
2018,20,California red fir,Abies magnifica,-0.00259886780902683,-0.972202172045863,Decline,7.21870464345751e-05,0.0258379745981113,0.267317630401697,0.240876363233623,-0.0152194234208815,-0.0100680631950074,4.24012402891885e-07,0.0543221497789107,0.000308743524411363,0.000282799667759421,2.48417728432339e-05,9.08778615210957e-06,359,315
2018,21,Shasta red fir,Abies shastensis,0.00390439840324443,1.9555836901328,Expand,0.000174305817161749,0.105713375523294,0.199653864109456,0.238684456676848,0.0176650480193958,0.0156927592243876,2.01346757617306e-06,0.740594971391672,0.000693332791484861,0.000549304177045822,0.000274031491700698,0.000169512794350194,245,257
2018,22,noble fir,Abies procera,0.00290697126355018,2.83385540061519,Expand,5.36842087003446e-05,0.0638962638022442,0.102580084464406,0.131322265923974,0.0212698842272117,0.0173137473811751,1.86490009810358e-07,0.26418818342106,6.10016668740205e-05,6.46064555481097e-05,5.28955187269093e-05,3.33719384023669e-05,447,251
2018,41,Port-Orford-cedar,Chamaecyparis lawsoniana,0.0013471989307551,1.34844453399966,Expand,8.57124669310097e-05,0.0851631521341164,0.0999076266607076,0.113667052398472,0.0112269827447998,0.0138741838421591,4.62003047646757e-07,0.456100245190153,0.000544683819471131,0.000672009763689648,0.000389833053240801,4.08644090411525e-05,85,244
2018,42,Alaska yellow-cedar,Chamaecyparis nootkatensis,0.000950741922748118,0.702038967788976,Expand,4.84053095197982e-05,0.0366422752182908,0.13542580488693,0.144571302709143,0.0128633681961371,0.0082738806714418,1.7052569375643e-07,0.0977166763390903,0.000313672907287239,0.000339113169768918,6.15779274143865e-05,7.18639786602668e-05,132,282
2018,50,cypress,Cupressus spp.,0,,Stable,0,,0,0,-0.101010101010101,-0.101010101010101,0,,0,0,4.02089905856545e-18,3.41585568661242e-18,1,6
2018,51,Arizona cypress,Cupressus arizonica,-0.0035981039676598,-2.73337536135217,Decline,0.000213695793608137,0.181467862850582,0.131635925988586,0.0960186552081458,-0.0163569371023701,-0.0289942115012674,2.97875467642242e-06,2.14803938049425,0.00222777450824282,0.00215952179268264,0.000201436744828144,0.000258163600321566,15,253
2018,52,Baker or Modoc cypress,Cupressus bakeri,0.00592271221245171,Inf,Expand,0,,0,0.0615962070094977,Inf,Inf,0,,0,3.30141336534445e-18,,,1,10
2018,54,Monterey cypress,Cupressus macrocarpa,-0.0209886345854771,-10.4166666666667,Decline,6.17556383936876e-10,,0.20149089202058,0,-0.104166666666667,-0.104166666666667,3.46291325500593e-19,-4.26482070545083e-14,2.2162644832038e-17,0,0,1.82971880164133e-17,1,6
2018,55,Sargent's cypress,Cupressus sargentii,0.0114198878633805,16.390960371018,Expand,0.00159497865664723,3.37537793633778,0.069671865497111,0.17784240384158,0.232413531600986,0.0648254123384045,6.79261790119198e-05,304.20913277052,0.00195316931228955,0.00647264142178913,0.10752977242037,0.00411738757724237,7,105
2018,56,MacNab's cypress,Cupressus macnabiana,0.0136852380190336,Inf,Stable,,,0,0.147800570605563,Inf,Inf,-9.25729309065334e-20,,0,0,,,1,39
2018,58,Pinchot juniper,Juniperus pinchotii,0.00285761790617731,3.47874972625357,Expand,0.000332319150225238,0.00459547487210165,0.082144969631225,0.108929708016952,-0.0553770582877264,-0.157159748031552,2.94875147318488e-06,0.000563881991669997,0.00239929809520922,0.00424438785400076,0.00463789619648297,0.00369621900968946,4,105
